origin,destination,weight,delivery_date,status
Tunisia,Germany,16.0,2024-04-06,Delivered
China,France,39.74,2024-03-08,Pending
USA,Italy,18.86,2024-05-12,Pending
Tunisia,Italy,12.89,2024-09-14,Delivered
Tunisia,France,25.85,2024-11-04,Pending
Tunisia,France,-2.2,2024-11-16,In Transit
USA,Germany,39.57,2024-10-09,Delivered
Spain,France,39.44,2024-04-04,In Transit
USA,Italy,15.63,2024-04-02,Delivered
Spain,Germany,24.36,2024-07-02,In Transit
Spain,Italy,-5.07,2024-05-23,In Transit
Spain,UK,32.65,2024-04-05,Pending
China,France,14.16,2024-12-22,In Transit
China,UK,29.13,2024-01-16,Pending
Spain,Italy,5.44,2024-10-09,Delivered
USA,UK,0.23,2024-06-18,In Transit
Tunisia,France,4.27,2024-12-10,In Transit
Tunisia,France,49.37,2024-07-16,Pending
USA,UK,-1.44,2024-03-04,Pending
USA,UK,13.74,2024-11-02,Pending
Tunisia,France,11.35,2024-12-24,Pending
Spain,France,8.24,2024-11-08,Pending
Tunisia,UK,7.95,2024-02-20,Delivered
USA,Germany,24.78,2024-09-17,In Transit
USA,Germany,19.34,2024-06-28,Pending
USA,France,33.16,2024-02-18,Delivered
Tunisia,Germany,-3.0,2024-04-04,In Transit
Spain,France,-5.47,2024-07-19,In Transit
USA,UK,29.88,2024-10-09,In Transit
USA,Germany,37.28,2024-10-09,Pending
Tunisia,Italy,-3.39,2024-10-09,Delivered
USA,UK,16.16,2024-02-11,In Transit
Tunisia,France,-0.74,2024-12-28,In Transit
USA,UK,7.95,2024-08-28,In Transit
China,Italy,19.43,2024-03-23,Pending
USA,UK,-8.72,2024-10-09,In Transit
USA,Italy,32.23,2024-12-11,Delivered
Tunisia,UK,11.37,2024-07-07,Pending
Spain,France,-5.74,2024-05-19,In Transit
USA,France,15.15,2024-12-12,In Transit
Germany,UK,6.4,2024-10-09,Delivered
China,Italy,-8.87,2024-03-10,In Transit
Tunisia,France,26.54,2024-01-12,Pending
Germany,Italy,13.55,2024-01-04,In Transit
USA,France,7.95,2024-12-23,Delivered
Tunisia,Germany,25.66,2024-10-09,In Transit
China,UK,26.29,2024-03-17,Pending
China,France,13.37,2024-10-09,Delivered
USA,France,37.78,2024-04-13,Delivered
Tunisia,France,9.91,2024-08-12,In Transit
Germany,Italy,34.78,2024-07-09,In Transit
China,France,-7.01,2024-04-24,Pending
Germany,France,41.7,2024-06-16,Delivered
Tunisia,UK,5.01,2024-02-11,Delivered
Tunisia,UK,19.86,2024-11-09,Delivered
Tunisia,France,30.97,2024-07-05,Pending
Spain,France,1.03,2024-02-06,In Transit
Spain,UK,3.62,2024-07-02,Delivered
Tunisia,UK,3.19,2024-05-02,Pending
Spain,France,30.3,2024-03-23,Pending
USA,France,20.38,2024-04-24,Pending
USA,France,-9.83,2024-10-09,In Transit
Tunisia,France,41.74,2024-07-25,Pending
China,France,14.01,2024-05-03,Pending
Tunisia,France,11.4,2024-09-06,Delivered
USA,France,37.7,2024-07-18,Delivered
USA,Germany,7.95,2024-06-13,Pending
Spain,France,4.62,2024-01-08,Delivered
USA,France,7.95,2024-12-15,Delivered
China,France,31.23,2024-01-22,Delivered
Spain,Germany,10.18,2024-03-10,Delivered
Germany,France,21.01,2024-01-24,Delivered
Spain,UK,7.95,2024-07-11,In Transit
USA,France,28.66,2024-07-22,In Transit
Spain,France,16.73,2024-08-18,Pending
Spain,France,14.77,2024-10-09,In Transit
Germany,UK,-8.72,2024-08-22,Pending
Spain,France,49.36,2024-10-27,In Transit
China,Italy,38.15,2024-09-08,Pending
Spain,France,43.5,2024-10-09,In Transit
USA,Italy,45.86,2024-11-26,Delivered
Germany,UK,27.98,2024-09-09,Delivered
China,Italy,42.63,2024-05-12,Pending
USA,France,22.57,2024-08-19,In Transit
Spain,France,30.06,2024-03-11,In Transit
USA,France,6.18,2024-05-26,Delivered
USA,Italy,46.55,2024-03-23,Pending
Germany,France,12.02,2024-12-18,In Transit
China,France,7.95,2024-08-11,In Transit
USA,UK,39.25,2024-11-24,Delivered
China,Italy,27.03,2024-06-28,Pending
USA,Italy,10.09,2024-12-11,Delivered
USA,Italy,29.58,2024-01-25,In Transit
Spain,France,7.95,2024-09-14,In Transit
Germany,Italy,7.95,2024-01-08,Pending
Tunisia,France,18.68,2024-07-24,Delivered
USA,Italy,33.02,2024-03-25,Pending
Tunisia,Italy,49.73,2024-10-09,Pending
Tunisia,UK,7.95,2024-02-25,Pending
Tunisia,France,37.55,2024-08-10,Pending
Tunisia,France,44.93,2024-05-11,In Transit
Tunisia,Italy,19.7,2024-10-09,Pending
Germany,France,7.95,2024-11-21,In Transit
USA,France,16.62,2024-07-09,Delivered
Germany,Italy,46.4,2024-07-09,In Transit
Tunisia,Italy,14.28,2024-04-07,Pending
USA,France,-8.3,2024-06-22,In Transit
Tunisia,France,20.6,2024-05-17,In Transit
Spain,Germany,-7.94,2024-12-02,In Transit
China,France,44.7,2024-04-06,In Transit
USA,UK,35.77,2024-09-13,Delivered
USA,France,22.25,2024-05-06,Delivered
Tunisia,France,41.96,2024-11-23,Delivered
USA,Germany,48.01,2024-10-09,Pending
Spain,France,-5.34,2024-06-10,Delivered
USA,Germany,32.32,2024-10-09,Delivered
Spain,France,16.12,2024-12-03,Delivered
China,Italy,29.55,2024-09-24,Pending
USA,Germany,42.41,2024-05-28,Pending
Tunisia,Germany,47.66,2024-12-03,Pending
China,Italy,23.97,2024-05-08,In Transit
USA,UK,38.2,2024-11-01,Delivered
Tunisia,Germany,16.1,2024-10-09,Delivered
Tunisia,France,20.47,2024-01-28,Pending
Spain,Italy,9.63,2024-05-07,Pending
Germany,France,12.36,2024-06-27,In Transit
Spain,France,48.16,2024-10-18,Delivered
Tunisia,France,10.68,2024-04-08,In Transit
Spain,Germany,18.01,2024-03-02,Pending
USA,France,24.71,2024-12-11,Pending
Germany,France,28.53,2024-08-25,Delivered
USA,France,15.01,2024-07-01,Delivered
Spain,France,47.16,2024-03-24,Delivered
Spain,Italy,7.95,2024-12-10,In Transit
Germany,UK,24.86,2024-10-09,In Transit
USA,France,34.33,2024-10-09,Pending
China,Italy,34.48,2024-01-09,Pending
Tunisia,France,8.15,2024-08-27,In Transit
USA,France,47.43,2024-01-07,Delivered
Tunisia,France,26.65,2024-07-20,In Transit
USA,UK,38.56,2024-10-09,Pending
Germany,France,30.91,2024-02-27,Delivered
Tunisia,Italy,-2.68,2024-10-09,Pending
Germany,Germany,19.78,2024-10-09,Pending
Germany,France,30.19,2024-12-17,Pending
Germany,France,7.95,2024-10-14,Pending
Tunisia,UK,29.95,2024-12-07,In Transit
USA,Italy,21.42,2024-10-09,Delivered
USA,France,17.91,2024-03-11,Delivered
China,France,7.12,2024-12-07,Delivered
China,UK,7.15,2024-08-11,In Transit
Germany,France,43.46,2024-02-27,In Transit
China,France,23.31,2024-02-18,Delivered
Spain,Italy,28.48,2024-03-10,Delivered
China,France,29.4,2024-06-15,Delivered
China,France,34.54,2024-10-09,Delivered
Germany,France,25.04,2024-02-13,Pending
Germany,Germany,4.35,2024-06-10,Delivered
Tunisia,France,1.92,2024-05-26,Delivered
Germany,France,32.14,2024-08-23,Pending
Spain,Germany,18.42,2024-05-09,In Transit
China,France,28.12,2024-10-12,Delivered
Germany,Germany,22.5,2024-08-07,Delivered
China,Italy,12.16,2024-10-09,In Transit
Tunisia,France,39.36,2024-10-21,Pending
Tunisia,France,13.51,2024-08-03,Delivered
China,France,21.9,2024-09-10,Pending
Tunisia,France,48.56,2024-10-17,Delivered
Spain,France,5.15,2024-05-16,Pending
Spain,Italy,-6.9,2024-10-09,Delivered
Spain,France,14.27,2024-03-13,Pending
USA,Italy,14.49,2024-10-16,Delivered
USA,France,7.95,2024-08-22,In Transit
China,Germany,10.7,2024-02-14,Pending
Germany,Italy,40.11,2024-05-25,Delivered
USA,Germany,39.4,2024-06-10,Delivered
USA,France,40.31,2024-03-21,Delivered
Germany,Germany,28.17,2024-12-08,Pending
Germany,France,43.58,2024-01-18,Delivered
Spain,Germany,16.01,2024-10-09,Pending
Spain,France,29.44,2024-04-08,Delivered
Spain,France,-6.46,2024-04-25,In Transit
Spain,France,-6.15,2024-12-20,Delivered
Germany,UK,26.91,2024-02-06,In Transit
Germany,UK,11.21,2024-05-03,Delivered
China,France,29.93,2024-09-21,Delivered
Tunisia,Italy,23.67,2024-08-05,Pending
China,Italy,7.57,2024-10-09,Pending
China,France,22.67,2024-04-25,In Transit
USA,Germany,7.95,2024-03-19,Pending
Tunisia,UK,9.8,2024-10-19,Pending
Germany,France,32.77,2024-01-19,Delivered
Spain,France,19.64,2024-07-11,Pending
China,UK,14.61,2024-09-21,In Transit
Spain,France,36.41,2024-04-25,Delivered
Spain,Italy,28.2,2024-05-24,Pending
Tunisia,Italy,7.95,2024-01-22,Pending
Germany,France,-8.76,2024-06-17,Delivered
USA,Germany,0.26,2024-07-02,Delivered
China,Italy,18.51,2024-08-19,Delivered
Germany,Italy,13.77,2024-05-12,Delivered
Spain,France,24.11,2024-03-17,In Transit
Tunisia,France,-1.13,2024-06-22,Delivered
China,France,18.39,2024-03-03,Pending
Tunisia,Italy,3.17,2024-10-09,Pending
Tunisia,Italy,-4.53,2024-10-09,Delivered
Tunisia,France,-0.37,2024-09-08,In Transit
China,Germany,13.58,2024-03-08,In Transit
Tunisia,Germany,15.05,2024-09-10,In Transit
Tunisia,UK,29.34,2024-10-09,Delivered
Tunisia,UK,7.95,2024-06-18,In Transit
Germany,France,31.82,2024-08-06,Delivered
Spain,France,19.14,2024-05-01,In Transit
Spain,France,7.95,2024-11-08,In Transit
Spain,UK,8.3,2024-05-26,Pending
Tunisia,UK,-10.0,2024-07-14,In Transit
Tunisia,France,22.7,2024-03-22,Pending
USA,Italy,-6.43,2024-08-11,Delivered
Germany,UK,-1.02,2024-06-15,Pending
USA,UK,29.61,2024-02-08,Delivered
Germany,Germany,7.95,2024-07-19,Pending
Tunisia,France,7.95,2024-10-15,Delivered
China,Germany,-4.17,2024-02-01,Pending
Spain,Germany,-4.37,2024-01-15,Pending
USA,France,-2.99,2024-10-09,Pending
USA,France,45.73,2024-11-18,Pending
USA,Germany,8.18,2024-03-01,In Transit
Germany,France,32.73,2024-06-24,Delivered
Germany,France,37.85,2024-05-04,In Transit
Tunisia,Italy,13.49,2024-04-23,Pending
China,Germany,28.63,2024-02-02,In Transit
USA,UK,49.93,2024-10-09,In Transit
USA,Italy,9.12,2024-04-10,Pending
Tunisia,Germany,22.16,2024-11-08,Pending
Tunisia,UK,41.37,2024-09-05,In Transit
Tunisia,Germany,13.58,2024-06-24,Pending
Tunisia,France,49.07,2024-01-12,Pending
Tunisia,France,4.68,2024-10-09,In Transit
China,Germany,31.18,2024-01-16,In Transit
Spain,Germany,31.75,2024-01-09,In Transit
Spain,Italy,46.32,2024-12-07,Delivered
USA,UK,-7.89,2024-05-05,Delivered
Tunisia,France,-7.68,2024-09-16,In Transit
China,UK,-9.7,2024-10-23,Pending
USA,Germany,12.12,2024-03-24,Delivered
Tunisia,Germany,15.11,2024-04-03,In Transit
USA,France,7.95,2024-10-02,Pending
Tunisia,UK,-4.66,2024-09-12,Delivered
China,Germany,16.02,2024-10-09,Pending
Tunisia,France,27.63,2024-05-15,In Transit
USA,France,10.1,2024-10-25,Delivered
Spain,UK,7.95,2024-12-01,Pending
Spain,France,7.95,2024-06-22,Delivered
USA,France,7.95,2024-08-26,In Transit
USA,France,19.21,2024-09-07,Delivered
Spain,Germany,44.33,2024-11-11,Pending
Germany,France,42.35,2024-03-20,Delivered
USA,France,3.65,2024-03-14,Delivered
USA,Italy,9.15,2024-12-04,Pending
Tunisia,Germany,1.97,2024-03-18,Delivered
Spain,UK,0.35,2024-01-04,Pending
USA,France,25.15,2024-01-24,In Transit
USA,France,8.2,2024-06-16,In Transit
Germany,France,15.99,2024-06-03,Delivered
Germany,France,16.11,2024-05-01,Delivered
Spain,France,18.6,2024-06-06,Delivered
China,Germany,7.95,2024-07-04,Pending
USA,France,3.24,2024-05-08,In Transit
Spain,Germany,35.82,2024-01-03,Delivered
China,Germany,2.53,2024-10-09,Delivered
Germany,Italy,7.95,2024-08-15,Pending
China,France,48.47,2024-06-28,Pending
Tunisia,France,7.02,2024-10-09,Pending
USA,Germany,-5.95,2024-01-12,Delivered
China,France,1.45,2024-10-09,Pending
Germany,Germany,-6.87,2024-01-10,In Transit
China,Italy,32.01,2024-07-23,Delivered
USA,France,38.72,2024-04-08,In Transit
Tunisia,France,15.12,2024-03-11,In Transit
Germany,UK,7.95,2024-01-02,Delivered
USA,France,35.03,2024-10-09,In Transit
Tunisia,Italy,38.42,2024-12-12,In Transit
Spain,France,25.59,2024-12-25,Delivered
China,France,13.64,2024-01-23,Delivered
USA,France,-6.96,2024-08-17,In Transit
Spain,UK,47.89,2024-06-28,In Transit
China,Germany,-7.16,2024-07-22,In Transit
Spain,France,1.7,2024-02-07,Delivered
Germany,Germany,13.83,2024-04-17,Delivered
China,Italy,34.22,2024-12-07,Delivered
Tunisia,UK,19.88,2024-10-09,In Transit
Germany,Germany,17.07,2024-01-26,Pending
Spain,France,7.95,2024-09-06,In Transit
China,Italy,-6.46,2024-07-22,Pending
USA,Italy,15.36,2024-09-11,In Transit
Tunisia,UK,9.84,2024-07-03,Pending
Tunisia,France,7.95,2024-05-26,Pending
Tunisia,Italy,-9.55,2024-02-01,Pending
USA,France,22.0,2024-11-23,Pending
China,Italy,26.44,2024-10-09,In Transit
Germany,France,5.0,2024-01-22,Pending
Germany,France,38.06,2024-08-25,Delivered
USA,UK,27.32,2024-10-09,Delivered
Tunisia,France,7.95,2024-10-18,In Transit
China,UK,7.95,2024-08-24,In Transit
Spain,France,11.84,2024-02-22,Delivered
Spain,France,0.79,2024-10-09,In Transit
Tunisia,France,23.21,2024-10-09,Delivered
USA,Italy,17.6,2024-10-09,In Transit
USA,Italy,23.29,2024-12-07,Delivered
Germany,France,-9.84,2024-08-09,In Transit
USA,Germany,7.95,2024-09-24,Delivered
China,France,1.92,2024-11-11,In Transit
Spain,Italy,7.4,2024-08-18,Delivered
USA,France,21.03,2024-10-09,Delivered
USA,France,49.72,2024-03-12,Delivered
China,France,-0.61,2024-01-05,Pending
China,France,-6.32,2024-03-13,Delivered
Tunisia,France,7.95,2024-09-27,Pending
Spain,France,-7.88,2024-10-09,In Transit
USA,France,-4.13,2024-10-09,Pending
Germany,France,30.2,2024-12-14,Pending
China,Italy,35.0,2024-06-10,Pending
USA,Italy,0.78,2024-02-17,Delivered
China,Germany,10.78,2024-10-14,Delivered
Germany,Italy,30.85,2024-01-06,Delivered
Tunisia,France,24.37,2024-04-21,Delivered
USA,Italy,39.8,2024-05-24,In Transit
Spain,France,-0.89,2024-10-09,Pending
China,France,-1.24,2024-11-02,In Transit
USA,Germany,-0.68,2024-01-22,Pending
Germany,France,26.14,2024-01-06,In Transit
Germany,UK,11.87,2024-10-09,Pending
Germany,UK,13.7,2024-08-03,In Transit
Spain,France,26.11,2024-04-26,Pending
Spain,France,7.95,2024-10-03,In Transit
Tunisia,Italy,46.73,2024-05-03,Delivered
Tunisia,Germany,33.29,2024-10-09,In Transit
Germany,Italy,41.64,2024-10-09,In Transit
USA,France,47.16,2024-08-28,Delivered
Tunisia,Germany,37.0,2024-10-09,Pending
Germany,Germany,6.89,2024-11-14,Delivered
USA,France,2.79,2024-05-26,In Transit
Germany,France,40.64,2024-04-19,Delivered
Tunisia,France,17.67,2024-01-16,Pending
Spain,France,12.85,2024-07-24,Pending
China,UK,38.83,2024-08-22,Delivered
Spain,Italy,13.49,2024-04-01,Delivered
Germany,UK,19.33,2024-01-11,Delivered
China,Italy,38.03,2024-02-07,In Transit
Spain,France,7.95,2024-11-14,In Transit
Tunisia,Germany,36.27,2024-05-21,Delivered
Germany,France,-0.78,2024-10-09,Delivered
Tunisia,UK,2.26,2024-12-07,Pending
China,Germany,35.49,2024-11-10,Pending
Germany,Italy,15.79,2024-05-12,In Transit
Germany,France,48.68,2024-08-17,In Transit
Germany,Germany,28.4,2024-02-06,Pending
Tunisia,France,13.49,2024-07-03,In Transit
Spain,France,39.59,2024-11-11,Delivered
Germany,Italy,16.34,2024-07-18,Pending
Spain,Italy,17.99,2024-11-17,In Transit
Germany,France,39.97,2024-10-09,Delivered
Tunisia,UK,44.1,2024-06-20,Delivered
USA,France,49.33,2024-12-05,Delivered
Spain,France,32.75,2024-08-04,In Transit
USA,Germany,44.41,2024-04-11,In Transit
Tunisia,Italy,7.95,2024-04-01,In Transit
Spain,France,48.29,2024-06-23,Pending
Germany,France,1.34,2024-06-03,Delivered
Spain,Italy,49.36,2024-10-09,Delivered
Spain,France,16.06,2024-01-20,Pending
Germany,France,7.95,2024-08-14,Delivered
USA,Germany,45.86,2024-10-09,Pending
Germany,Germany,7.95,2024-08-18,Delivered
China,UK,23.72,2024-09-21,Delivered
China,France,23.51,2024-11-24,In Transit
China,France,46.23,2024-06-03,Pending
USA,UK,10.26,2024-09-21,In Transit
Tunisia,France,18.44,2024-09-09,Delivered
Tunisia,France,31.13,2024-10-22,Delivered
Germany,UK,22.59,2024-05-18,Delivered
USA,Germany,39.52,2024-07-28,Delivered
China,UK,24.14,2024-07-16,Pending
USA,France,5.22,2024-10-09,In Transit
Spain,France,16.44,2024-01-27,Pending
China,France,42.38,2024-04-27,In Transit
Spain,Germany,9.5,2024-11-01,Delivered
China,France,7.95,2024-02-11,Delivered
Tunisia,France,7.95,2024-08-13,In Transit
China,France,46.32,2024-03-20,Delivered
USA,Germany,25.98,2024-06-21,Pending
Tunisia,Germany,-7.67,2024-07-16,Delivered
Spain,France,31.37,2024-02-04,In Transit
China,France,17.28,2024-03-03,Delivered
China,Italy,-1.33,2024-03-04,In Transit
Tunisia,France,1.63,2024-05-27,Delivered
Germany,UK,49.4,2024-11-07,In Transit
USA,France,-1.64,2024-02-16,In Transit
Germany,Italy,42.11,2024-07-16,Delivered
Tunisia,UK,20.01,2024-10-09,In Transit
China,France,7.95,2024-05-10,Pending
Tunisia,France,-9.61,2024-04-20,In Transit
USA,Germany,7.95,2024-05-05,Delivered
USA,Germany,44.82,2024-05-14,Delivered
China,UK,24.94,2024-07-23,Pending
Spain,UK,46.69,2024-10-09,In Transit
Spain,France,17.92,2024-10-09,In Transit
Spain,France,6.06,2024-09-20,In Transit
China,Germany,2.93,2024-12-13,Delivered
Spain,France,11.96,2024-10-09,Pending
Spain,UK,-4.78,2024-10-23,In Transit
Germany,France,7.44,2024-01-07,Pending
Germany,Germany,-2.95,2024-09-22,Delivered
Tunisia,Germany,-6.09,2024-10-09,In Transit
Germany,Germany,7.95,2024-02-27,Pending
China,France,22.63,2024-03-04,In Transit
Tunisia,France,7.95,2024-03-03,Delivered
Spain,Germany,40.45,2024-10-01,In Transit
USA,Italy,-6.74,2024-01-18,Pending
Germany,UK,2.83,2024-09-14,In Transit
USA,France,18.74,2024-08-08,In Transit
China,France,40.09,2024-08-03,Delivered
Germany,Germany,7.95,2024-12-28,In Transit
Spain,France,48.41,2024-03-03,Pending
China,UK,31.14,2024-04-15,In Transit
China,France,-1.6,2024-01-02,In Transit
USA,France,48.14,2024-10-09,Delivered
USA,France,-8.34,2024-07-19,Pending
Spain,Germany,36.83,2024-01-21,Pending
Germany,Italy,17.92,2024-09-28,In Transit
Germany,France,41.82,2024-02-11,Pending
Tunisia,UK,48.45,2024-03-07,Delivered
China,UK,19.82,2024-05-09,In Transit
Tunisia,France,-0.55,2024-03-21,Pending
USA,France,40.37,2024-10-09,Delivered
USA,France,31.0,2024-10-20,Delivered
Spain,France,32.39,2024-07-07,Delivered
Tunisia,Germany,7.95,2024-04-20,In Transit
Germany,France,-6.15,2024-01-17,In Transit
Spain,UK,43.71,2024-11-10,Delivered
Germany,France,4.75,2024-07-02,In Transit
China,France,14.08,2024-01-28,In Transit
USA,Italy,7.95,2024-10-27,Delivered
Tunisia,UK,33.17,2024-07-09,Delivered
China,France,19.69,2024-03-21,Pending
Tunisia,UK,18.69,2024-03-15,In Transit
Tunisia,France,-5.49,2024-08-09,In Transit
Germany,France,7.95,2024-07-24,In Transit
Germany,France,38.63,2024-12-25,Pending
China,France,21.73,2024-12-19,Pending
USA,Germany,48.09,2024-02-25,In Transit
Tunisia,France,2.03,2024-09-01,Pending
USA,France,11.51,2024-10-14,Pending
Spain,Germany,27.5,2024-10-09,Pending
USA,France,39.01,2024-10-07,In Transit
Germany,Germany,24.25,2024-09-13,In Transit
Germany,UK,7.95,2024-09-15,In Transit
USA,UK,37.33,2024-01-21,In Transit
China,Italy,27.83,2024-03-26,In Transit
China,Italy,37.39,2024-10-17,Delivered
Tunisia,UK,34.69,2024-12-13,In Transit
Germany,UK,7.95,2024-07-27,Pending
Tunisia,Germany,40.12,2024-11-08,Pending
Spain,France,25.3,2024-09-25,In Transit
Tunisia,France,10.81,2024-06-09,In Transit
USA,UK,4.07,2024-10-09,Pending
Germany,France,49.71,2024-08-07,Pending
Spain,France,25.83,2024-09-13,Pending
Tunisia,France,7.95,2024-11-16,In Transit
USA,Italy,31.66,2024-01-28,Pending
USA,Italy,-4.21,2024-06-07,Pending
China,Germany,7.95,2024-12-21,In Transit
USA,Germany,6.06,2024-10-13,Delivered
Spain,UK,14.99,2024-09-16,Pending
Tunisia,Italy,46.58,2024-10-09,Pending
Spain,Italy,7.22,2024-10-09,In Transit
Tunisia,Italy,7.0,2024-09-03,In Transit
Spain,UK,3.84,2024-06-03,Pending
Tunisia,UK,4.49,2024-06-11,In Transit
USA,France,35.37,2024-12-24,In Transit
USA,France,15.46,2024-05-26,In Transit
China,Germany,-1.22,2024-01-05,Pending
China,Italy,16.55,2024-05-08,In Transit
USA,UK,24.61,2024-09-24,Delivered
Germany,France,43.6,2024-08-05,Delivered
Tunisia,Italy,48.21,2024-12-24,Pending
Spain,Italy,40.02,2024-08-05,Delivered
Spain,UK,32.46,2024-02-05,In Transit
Germany,France,44.64,2024-10-09,Pending
Spain,France,45.08,2024-03-16,Pending
China,France,19.39,2024-08-26,Delivered
China,France,23.9,2024-12-27,Delivered
China,France,2.53,2024-09-13,In Transit
Spain,UK,15.51,2024-10-09,Delivered
Germany,Germany,7.95,2024-04-02,Delivered
USA,France,7.95,2024-11-03,Pending
Tunisia,Germany,7.95,2024-10-11,Delivered
Tunisia,France,31.07,2024-12-28,Delivered
Tunisia,France,24.59,2024-10-26,In Transit
Germany,Germany,43.12,2024-10-07,Pending
China,UK,31.07,2024-04-10,Delivered
Germany,France,27.21,2024-10-09,Delivered
USA,Germany,7.95,2024-05-10,Delivered
USA,France,-7.43,2024-05-22,Delivered
Tunisia,UK,14.5,2024-12-17,In Transit
China,France,36.42,2024-10-09,Delivered
China,Germany,17.23,2024-07-08,Delivered
Tunisia,UK,32.52,2024-08-26,In Transit
China,UK,27.41,2024-10-09,Pending
USA,Germany,-5.91,2024-08-23,Pending
Spain,UK,3.81,2024-10-20,Delivered
Spain,Italy,-2.56,2024-05-04,In Transit
Tunisia,France,7.95,2024-02-12,Delivered
Tunisia,France,17.93,2024-03-24,Delivered
Tunisia,France,-0.42,2024-10-09,In Transit
Tunisia,UK,41.78,2024-07-20,Delivered
Germany,Germany,28.21,2024-10-09,Delivered
USA,France,20.3,2024-05-23,Pending
USA,UK,39.73,2024-03-02,In Transit
USA,UK,27.47,2024-08-18,In Transit
China,France,24.85,2024-04-16,Pending
Spain,France,36.38,2024-01-06,In Transit
Germany,France,35.23,2024-08-18,Pending
Germany,France,24.79,2024-12-22,In Transit
USA,France,7.95,2024-11-17,Pending
China,Germany,16.79,2024-07-05,Pending
China,France,-2.47,2024-12-04,In Transit
Spain,Germany,39.37,2024-04-17,Pending
China,France,43.72,2024-06-06,Pending
China,UK,7.95,2024-12-07,Delivered
China,UK,1.56,2024-09-15,Pending
China,France,37.63,2024-02-02,Delivered
China,France,48.67,2024-10-09,Pending
China,France,41.57,2024-08-02,Delivered
China,France,7.95,2024-04-13,Pending
Tunisia,UK,38.88,2024-09-10,Pending
Germany,France,12.74,2024-06-28,Pending
Germany,France,13.63,2024-02-16,Delivered
USA,Germany,32.09,2024-04-01,In Transit
Tunisia,UK,3.78,2024-03-20,Delivered
USA,France,16.59,2024-09-20,Pending
Germany,France,38.23,2024-08-06,Delivered
USA,Germany,3.35,2024-12-22,Delivered
Tunisia,UK,32.84,2024-07-22,Pending
China,UK,7.95,2024-02-07,Delivered
Germany,Italy,22.71,2024-12-06,Delivered
China,France,24.55,2024-06-14,Delivered
Tunisia,France,7.95,2024-03-05,In Transit
USA,France,42.46,2024-09-08,Delivered
China,UK,45.09,2024-11-15,Pending
Germany,Italy,5.56,2024-02-06,Delivered
Tunisia,Italy,4.16,2024-10-21,Delivered
Germany,Italy,22.82,2024-09-23,Pending
Tunisia,Italy,14.24,2024-06-03,Delivered
Spain,France,0.8,2024-03-11,In Transit
Tunisia,UK,17.82,2024-10-11,Delivered
Germany,UK,30.08,2024-03-11,Delivered
Spain,France,-0.17,2024-10-09,Delivered
USA,Italy,49.99,2024-06-13,Delivered
Germany,Germany,23.36,2024-01-02,In Transit
Tunisia,Germany,7.95,2024-06-12,In Transit
Spain,France,29.72,2024-10-09,In Transit
Spain,France,37.7,2024-08-15,Delivered
Spain,France,5.82,2024-09-05,Delivered
Spain,France,28.71,2024-09-18,Delivered
China,France,-1.34,2024-01-21,Delivered
Spain,Italy,16.28,2024-02-15,In Transit
Tunisia,France,29.89,2024-03-07,In Transit
USA,UK,3.5,2024-01-27,Delivered
China,France,14.95,2024-10-09,In Transit
Tunisia,France,7.95,2024-03-16,Pending
Tunisia,France,28.88,2024-10-06,Delivered
Germany,Italy,17.51,2024-02-28,Delivered
Tunisia,Germany,18.33,2024-11-20,Pending
Germany,France,22.27,2024-10-23,In Transit
Germany,Germany,22.9,2024-02-24,Pending
China,France,-3.97,2024-06-19,Delivered
USA,Italy,37.68,2024-03-26,Delivered
USA,France,-8.88,2024-04-06,In Transit
USA,France,11.41,2024-04-17,Delivered
China,Germany,7.95,2024-04-22,In Transit
China,Italy,34.58,2024-10-27,Pending
Tunisia,UK,7.95,2024-12-27,Delivered
USA,France,23.91,2024-05-27,Pending
Tunisia,France,14.56,2024-10-09,Pending
Tunisia,UK,-1.29,2024-06-10,In Transit
China,Italy,7.95,2024-10-21,Delivered
Germany,France,24.81,2024-10-09,Pending
Germany,France,-9.87,2024-01-03,Pending
USA,UK,11.37,2024-10-09,In Transit
USA,France,15.86,2024-08-05,In Transit
Tunisia,Germany,17.76,2024-04-13,In Transit
Germany,France,-5.98,2024-10-23,Pending
Tunisia,Italy,34.14,2024-06-15,Delivered
Spain,UK,19.6,2024-12-24,Delivered
USA,France,24.12,2024-05-25,In Transit
Spain,France,15.5,2024-10-09,Pending
China,France,3.38,2024-08-17,In Transit
China,France,33.12,2024-10-09,In Transit
Tunisia,France,23.79,2024-06-18,Pending
Germany,Italy,47.62,2024-10-12,In Transit
Spain,France,46.57,2024-12-04,Pending
USA,France,32.31,2024-10-09,Pending
China,France,-7.32,2024-06-10,In Transit
USA,France,12.86,2024-02-02,In Transit
Germany,Italy,37.65,2024-10-09,Delivered
China,Germany,49.81,2024-11-16,In Transit
Tunisia,UK,7.95,2024-03-18,Pending
Spain,France,4.16,2024-09-07,Pending
Spain,France,41.9,2024-06-24,Pending
Germany,France,21.61,2024-10-13,In Transit
Germany,France,13.56,2024-07-10,Pending
China,UK,4.12,2024-02-20,Delivered
Germany,Germany,27.89,2024-07-18,In Transit
Tunisia,UK,12.95,2024-05-23,Pending
Germany,UK,16.58,2024-09-05,Pending
China,France,7.95,2024-11-15,Delivered
China,UK,3.01,2024-02-11,Delivered
Spain,France,17.08,2024-03-27,Pending
China,Germany,43.32,2024-11-28,In Transit
